Start Time, End Time, Time in Bed (mins), Is nap, Sleep quality, Awake duration (mins), REM sleep duration (mins), Light sleep duration (mins), Deep sleep duration (mins), Amount of audio recordings, Wake-up mood, 
Optional(2018-08-29 23:36:00 +0000), Optional(2018-08-30 06:01:12 +0000), 385, No, 60, 55, 30, 150, 150, 149, OK, 
Optional(2018-08-30 22:43:18 +0000), Optional(2018-08-31 00:19:37 +0000), 96, No,  0, 0, 0, 0, 0, 1, Undefined, 
Optional(2018-08-30 22:43:18 +0000), Optional(2018-08-31 07:00:50 +0000), 498, No, 70, 38, 50, 230, 180, 1, OK, 
Optional(2018-09-01 23:40:43 +0000), Optional(2018-09-02 06:52:12 +0000), 431, No, 70, 31, 50, 190, 160, 7, OK, 
Optional(2018-09-02 21:36:08 +0000), Optional(2018-09-03 06:00:24 +0000), 504, No, 46, 154, 30, 160, 160, 13, OK, 
Optional(2018-09-03 22:01:36 +0000), Optional(2018-09-04 06:00:18 +0000), 479, No, 70, 99, 130, 140, 110, 0, Undefined, 
Optional(2018-09-03 22:01:37 +0000), Optional(2018-09-04 06:00:20 +0000), 479, No,  0, 479, 0, 0, 0, 6, Undefined, 
Optional(2018-09-04 22:41:56 +0000), Optional(2018-09-05 06:00:20 +0000), 438, No, 76, 48, 110, 160, 120, 6, Undefined, 
Optional(2018-09-05 22:00:30 +0000), Optional(2018-09-06 05:50:30 +0000), 470, No, 58, 130, 60, 180, 100, 6, Undefined, 
Optional(2018-09-06 22:31:44 +0000), Optional(2018-09-07 05:50:31 +0000), 439, No, 60, 828, 120, 180, 140, 10, OK, 
Optional(2018-09-07 23:28:22 +0000), Optional(2018-09-08 07:00:26 +0000), 452, No, 68, 32, 60, 240, 120, 4, Undefined, 
Optional(2018-09-08 23:44:34 +0000), Optional(2018-09-09 06:06:59 +0000), 382, No, 70, 32, 50, 150, 150, 1, Undefined, 
Optional(2018-09-09 21:04:23 +0000), Optional(2018-09-10 05:50:14 +0000), 526, No, 76, 76, 100, 200, 150, 4, OK, 
Optional(2018-09-10 21:59:53 +0000), Optional(2018-09-11 05:50:34 +0000), 471, No, 56, 131, 60, 170, 110, 16, Undefined, 
Optional(2018-09-11 21:23:21 +0000), Optional(2018-09-12 05:44:16 +0000), 501, No, 84, 21, 100, 200, 180, 114, Good, 
Optional(2018-09-12 22:14:14 +0000), Optional(2018-09-13 05:50:33 +0000), 456, No, 64, 86, 50, 180, 140, 243, Undefined, 
Optional(2018-09-13 21:38:33 +0000), Optional(2018-09-14 05:50:34 +0000), 492, No, 78, 72, 100, 160, 160, 106, Good, 
Optional(2018-09-14 22:23:10 +0000), Optional(2018-09-15 06:00:27 +0000), 457, No,  0, 457, 0, 0, 0, 71, Undefined, 
Optional(2018-09-14 22:23:13 +0000), Optional(2018-09-15 06:00:27 +0000), 457, No, 74, 57, 70, 170, 160, 51, Undefined, 
Optional(2018-09-16 00:00:16 +0000), Optional(2018-09-16 06:51:06 +0000), 411, No, 68, 41, 50, 180, 140, 50, OK, 
Optional(2018-09-16 21:30:19 +0000), Optional(2018-09-17 05:50:24 +0000), 500, No, 76, 30, 80, 220, 170, 4, Undefined, 
Optional(2018-09-17 21:58:22 +0000), Optional(2018-09-18 05:50:24 +0000), 472, No, 80, 32, 90, 190, 160, 2, OK, 
Optional(2018-09-19 21:40:42 +0000), Optional(2018-09-20 05:42:05 +0000), 481, No, 64, 91, 50, 190, 150, 20, Undefined, 
Optional(2018-09-20 21:53:32 +0000), Optional(2018-09-21 05:33:28 +0000), 460, No, 72, 80, 90, 160, 130, 51, Undefined, 
Optional(2018-09-21 23:24:50 +0000), Optional(2018-09-22 07:00:20 +0000), 455, No, 68, 75, 70, 170, 140, 11, OK, 
Optional(2018-09-22 23:40:15 +0000), Optional(2018-09-23 07:02:33 +0000), 442, No,  0, 442, 0, 0, 0, 4, Undefined, 
Optional(2018-09-22 23:40:18 +0000), Optional(2018-09-23 07:02:34 +0000), 442, No, 68, 52, 50, 180, 160, 2, Undefined, 
Optional(2018-09-23 21:10:51 +0000), Optional(2018-09-24 05:45:13 +0000), 514, No, 78, 34, 100, 240, 140, 4, Undefined, 
Optional(2018-09-24 21:54:27 +0000), Optional(2018-09-25 05:45:24 +0000), 471, No,  0, 471, 0, 0, 0, 2, Undefined, 
Optional(2018-09-24 21:54:29 +0000), Optional(2018-09-25 05:45:25 +0000), 471, No, 72, 81, 100, 170, 120, 4, Undefined, 
Optional(2018-09-25 20:59:27 +0000), Optional(2018-09-26 05:45:30 +0000), 526, No, 80, 46, 100, 220, 160, 5, Undefined, 
Optional(2018-09-26 22:05:10 +0000), Optional(2018-09-27 05:45:41 +0000), 461, No, 74, 40, 60, 180, 180, 2, Undefined, 
Optional(2018-09-28 22:15:58 +0000), Optional(2018-09-29 06:00:21 +0000), 464, No, 80, 44, 80, 150, 190, 2, Undefined, 
Optional(2018-09-29 23:32:09 +0000), Optional(2018-09-30 06:00:24 +0000), 388, No, 74, 28, 80, 190, 90, 0, Undefined, 
Optional(2018-09-30 22:21:52 +0000), Optional(2018-10-01 05:45:27 +0000), 444, No, 68, 73, 80, 180, 110, 2, Undefined, 
Optional(2018-10-01 22:04:26 +0000), Optional(2018-10-02 05:45:30 +0000), 461, No, 78, 21, 50, 210, 180, 2, OK, 
Optional(2018-10-02 22:01:00 +0000), Optional(2018-10-03 05:45:26 +0000), 464, No, 72, 84, 120, 150, 110, 3, Undefined, 
Optional(2018-10-04 21:01:03 +0000), Optional(2018-10-05 05:45:22 +0000), 524, No, 82, 44, 150, 200, 130, 3, Undefined, 
Optional(2018-10-05 23:30:21 +0000), Optional(2018-10-06 07:00:22 +0000), 450, No, 56, 90, 40, 140, 180, 8, OK, 
Optional(2018-10-06 23:47:16 +0000), Optional(2018-10-07 07:00:17 +0000), 433, No, 70, 63, 60, 160, 150, 2, Undefined, 
Optional(2018-10-07 21:24:27 +0000), Optional(2018-10-07 21:35:35 +0000), 11, Yes,  0, 11, 0, 0, 0, 0, Undefined, 
Optional(2018-10-07 21:36:51 +0000), Optional(2018-10-08 05:45:32 +0000), 489, No, 74, 59, 90, 160, 180, 6, Undefined, 
Optional(2018-10-08 21:20:28 +0000), Optional(2018-10-09 05:45:29 +0000), 505, No, 60, 115, 50, 160, 180, 11, Undefined, 
Optional(2018-10-09 21:21:12 +0000), Optional(2018-10-10 05:45:24 +0000), 504, No, 68, 94, 90, 130, 190, 0, Undefined, 
Optional(2018-10-09 21:21:13 +0000), Optional(2018-10-10 05:45:24 +0000), 504, No,  0, 504, 0, 0, 0, 3, Undefined, 
Optional(2018-10-10 22:18:08 +0000), Optional(2018-10-11 05:45:20 +0000), 447, No, 60, 117, 110, 140, 80, 25, Undefined, 
Optional(2018-10-11 21:44:05 +0000), Optional(2018-10-12 05:45:18 +0000), 481, No, 60, 91, 40, 150, 200, 4, Undefined, 
Optional(2018-10-11 21:44:07 +0000), Optional(2018-10-12 05:45:19 +0000), 481, No,  0, 481, 0, 0, 0, 7, Undefined, 
Optional(2018-10-13 23:28:37 +0000), Optional(2018-10-13 23:28:37 +0000), 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2018-10-14 21:47:24 +0000), Optional(2018-10-15 05:45:35 +0000), 478, No, 74, 58, 100, 190, 130, 2, Undefined, 
Optional(2018-10-15 21:29:46 +0000), Optional(2018-10-16 05:45:35 +0000), 496, No, 76, 66, 90, 180, 160, 5, Undefined, 
Optional(2018-10-17 05:45:43 +0000), Optional(2018-10-17 05:45:43 +0000), 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2018-10-17 22:03:42 +0000), Optional(2018-10-18 05:45:29 +0000), 462, No, 68, 72, 60, 170, 160, 5, Undefined, 
Optional(2018-10-18 21:31:00 +0000), Optional(2018-10-19 05:35:31 +0000), 485, No, 72, 44, 80, 210, 150, 31, Good, 
Optional(2018-10-19 22:22:24 +0000), Optional(2018-10-20 05:55:21 +0000), 453, No, 80, 33, 140, 130, 150, 1, Good, 
Optional(2018-10-20 22:44:58 +0000), Optional(2018-10-21 06:45:13 +0000), 480, No, 86, 30, 90, 180, 180, 9, Good, 
Optional(2018-10-21 21:39:46 +0000), Optional(2018-10-22 05:45:34 +0000), 486, No, 72, 96, 110, 160, 120, 8, Good, 
Optional(2018-10-22 22:01:47 +0000), Optional(2018-10-23 05:45:37 +0000), 464, No, 70, 64, 70, 220, 110, 16, Undefined, 
Optional(2018-10-23 21:28:48 +0000), Optional(2018-10-24 05:45:42 +0000), 497, No, 80, 57, 140, 150, 150, 6, Undefined, 
Optional(2018-10-24 21:45:19 +0000), Optional(2018-10-25 05:21:49 +0000), 457, No, 62, 106, 60, 160, 130, 54, OK, 
Optional(2018-10-25 22:00:05 +0000), Optional(2018-10-26 05:45:30 +0000), 465, No, 66, 85, 70, 220, 90, 5, Undefined, 
Optional(2018-10-27 22:54:20 +0000), Optional(2018-10-28 07:25:37 +0000), 511, No, 74, 21, 30, 240, 220, 1, Undefined, 
Optional(2018-10-28 22:38:39 +0000), Optional(2018-10-29 06:45:36 +0000), 487, No, 68, 47, 50, 230, 160, 1, Undefined, 
Optional(2018-10-29 22:20:45 +0000), Optional(2018-10-30 06:45:31 +0000), 505, No, 70, 35, 50, 220, 200, 1, Undefined, 
Optional(2018-10-31 22:26:37 +0000), Optional(2018-11-01 06:45:20 +0000), 499, No, 78, 49, 100, 210, 140, 2, OK, 
Optional(2018-11-01 22:46:29 +0000), Optional(2018-11-02 06:45:32 +0000), 479, No, 68, 69, 60, 170, 180, 10, Undefined, 
Optional(2018-11-02 23:59:24 +0000), Optional(2018-11-03 07:26:11 +0000), 447, No, 72, 37, 50, 170, 190, 37, OK, 
Optional(2018-11-03 23:20:42 +0000), Optional(2018-11-04 07:45:19 +0000), 505, No, 82, 25, 90, 210, 180, 3, Undefined, 
Optional(2018-11-04 22:46:58 +0000), Optional(2018-11-05 06:40:15 +0000), 473, No, 64, 53, 40, 180, 200, 0, Undefined, 
Optional(2018-11-05 22:40:51 +0000), Optional(2018-11-06 06:40:16 +0000), 479, No, 80, 29, 120, 190, 140, 0, Undefined, 
Optional(2018-11-06 22:09:50 +0000), Optional(2018-11-07 06:40:14 +0000), 510, No, 66, 80, 60, 210, 160, 6, Undefined, 
Optional(2018-11-07 22:24:40 +0000), Optional(2018-11-08 06:40:23 +0000), 496, No, 78, 46, 100, 220, 130, 6, Undefined, 
Optional(2018-11-10 23:40:50 +0000), Optional(2018-11-11 07:36:14 +0000), 475, No, 64, 45, 30, 190, 210, 5, OK, 
Optional(2018-11-11 22:50:51 +0000), Optional(2018-11-12 06:40:16 +0000), 469, No, 80, 29, 70, 200, 170, 4, Undefined, 
Optional(2018-11-12 22:33:07 +0000), Optional(2018-11-13 06:40:17 +0000), 487, No, 76, 67, 100, 210, 110, 10, Undefined, 
Optional(2018-11-13 22:40:38 +0000), Optional(2018-11-14 06:11:37 +0000), 451, No, 84, 21, 70, 170, 190, 50, Undefined, 
Optional(2018-11-14 22:19:28 +0000), Optional(2018-11-15 06:40:22 +0000), 501, No, 82, 41, 80, 180, 200, 8, Undefined, 
Optional(2018-11-15 22:20:17 +0000), Optional(2018-11-16 06:40:15 +0000), 500, No, 72, 50, 80, 200, 170, 7, Undefined, 
Optional(2018-11-16 23:53:42 +0000), Optional(2018-11-17 08:40:13 +0000), 527, No, 66, 76, 40, 260, 150, 10, Undefined, 
Optional(2018-11-17 23:49:18 +0000), Optional(2018-11-18 07:00:14 +0000), 431, No, 76, 21, 60, 180, 170, 6, Undefined, 
Optional(2018-11-19 22:46:27 +0000), Optional(2018-11-20 06:35:12 +0000), 469, No, 80, 29, 90, 180, 170, 15, Undefined, 
Optional(2018-11-20 22:16:57 +0000), Optional(2018-11-21 06:35:18 +0000), 498, No, 70, 78, 80, 160, 180, 18, Undefined, 
Optional(2018-11-21 22:16:47 +0000), Optional(2018-11-22 06:35:44 +0000), 499, No, 76, 49, 90, 190, 170, 0, Undefined, 
Optional(2018-11-21 22:16:48 +0000), Optional(2018-11-22 06:35:45 +0000), 499, No, 76, 49, 90, 190, 170, 10, Undefined, 
Optional(2018-11-22 22:27:16 +0000), Optional(2018-11-22 22:27:16 +0000), 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2018-11-22 22:27:16 +0000), Optional(2018-11-23 22:33:26 +0000), 1446, No, 58, 926, 120, 180, 220, 0, Undefined, 
Optional(2018-11-23 22:33:44 +0000), Optional(2018-11-24 07:35:22 +0000), 542, No, 80, 42, 90, 210, 200, 11, Undefined, 
Optional(2018-11-24 23:12:10 +0000), Optional(2018-11-25 08:00:10 +0000), 528, No, 86, 28, 140, 180, 180, 8, Undefined, 
Optional(2018-11-25 22:45:10 +0000), Optional(2018-11-26 06:35:08 +0000), 470, No, 64, 50, 30, 220, 170, 7, Undefined, 
Optional(2018-11-26 22:21:55 +0000), Optional(2018-11-27 06:35:09 +0000), 493, No, 78, 43, 90, 210, 150, 8, Undefined, 
Optional(2018-11-27 22:33:08 +0000), Optional(2018-11-28 06:35:12 +0000), 482, No, 78, 52, 80, 180, 170, 10, Undefined, 
Optional(2018-11-28 22:32:14 +0000), Optional(2018-11-29 06:09:25 +0000), 457, No, 80, 27, 90, 180, 160, 0, Undefined, 
Optional(2018-11-29 22:39:20 +0000), Optional(2018-11-30 06:35:22 +0000), 476, No, 76, 46, 70, 170, 190, 0, Undefined, 
Optional(2018-11-29 22:39:20 +0000), Optional(2018-11-30 06:35:23 +0000), 476, No, 76, 46, 70, 170, 190, 4, Undefined, 
Optional(2018-11-30 23:16:32 +0000), Optional(2018-12-01 07:30:25 +0000), 494, No, 78, 34, 60, 210, 190, 10, OK, 
Optional(2018-12-01 22:32:59 +0000), Optional(2018-12-02 07:00:27 +0000), 507, No, 80, 27, 130, 160, 190, 6, Undefined, 
Optional(2018-12-02 22:31:50 +0000), Optional(2018-12-03 06:35:16 +0000), 483, No, 78, 23, 40, 230, 190, 4, Undefined, 
Optional(2018-12-03 22:42:28 +0000), Optional(2018-12-04 06:35:21 +0000), 473, No, 84, 43, 90, 190, 150, 0, Undefined, 
Optional(2018-12-03 22:42:28 +0000), Optional(2018-12-04 06:35:22 +0000), 473, No, 84, 43, 90, 190, 150, 14, Undefined, 
Optional(2018-12-04 22:16:00 +0000), Optional(2018-12-05 06:35:13 +0000), 499, No, 82, 39, 70, 210, 180, 0, Undefined, 
Optional(2018-12-04 22:16:00 +0000), Optional(2018-12-05 06:35:14 +0000), 499, No, 82, 39, 70, 210, 180, 8, Undefined, 
Optional(2018-12-05 22:28:48 +0000), Optional(2018-12-06 06:35:16 +0000), 486, No, 72, 66, 90, 190, 140, 0, Undefined, 
Optional(2018-12-05 22:28:48 +0000), Optional(2018-12-06 06:35:17 +0000), 486, No, 72, 66, 90, 190, 140, 9, Undefined, 
Optional(2018-12-06 21:33:45 +0000), Optional(2018-12-07 06:35:10 +0000), 541, No, 70, 91, 80, 190, 180, 10, Undefined, 
Optional(2018-12-07 22:27:30 +0000), Optional(2018-12-08 07:00:15 +0000), 513, No, 76, 53, 90, 230, 140, 6, Undefined, 
Optional(2018-12-08 23:23:38 +0000), Optional(2018-12-09 08:00:09 +0000), 517, No, 72, 67, 80, 200, 170, 12, Undefined, 
Optional(2018-12-09 22:23:47 +0000), Optional(2018-12-10 06:30:17 +0000), 486, No, 70, 46, 60, 260, 120, 10, Undefined, 
Optional(2018-12-10 22:19:13 +0000), Optional(2018-12-11 06:30:08 +0000), 491, No, 72, 61, 60, 190, 180, 2, Undefined, 
Optional(2018-12-11 22:32:15 +0000), Optional(2018-12-12 06:30:08 +0000), 478, No, 76, 38, 70, 210, 160, 4, Undefined, 
Optional(2018-12-12 22:14:12 +0000), Optional(2018-12-12 22:14:12 +0000), 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2018-12-12 22:17:18 +0000), Optional(2018-12-13 06:30:13 +0000), 493, No, 72, 63, 70, 180, 180, 7, Undefined, 
Optional(2018-12-13 22:32:15 +0000), Optional(2018-12-14 06:10:12 +0000), 458, No, 78, 48, 80, 170, 160, 20, Undefined, 
Optional(2018-12-16 01:28:01 +0000), Optional(2018-12-16 08:50:16 +0000), 442, No, 74, 42, 50, 170, 180, 24, Undefined, 
Optional(2018-12-16 15:31:40 +0000), Optional(2018-12-16 15:52:02 +0000), 20, Yes,  0, 20, 0, 0, 0, 0, Undefined, 
Optional(2018-12-16 22:34:29 +0000), Optional(2018-12-17 06:30:07 +0000), 476, No, 78, 36, 80, 190, 170, 0, Undefined, 
Optional(2018-12-17 22:21:00 +0000), Optional(2018-12-18 06:30:13 +0000), 489, No, 88, 29, 120, 200, 140, 0, Good, 
Optional(2018-12-18 22:33:30 +0000), Optional(2018-12-19 06:30:23 +0000), 477, No, 76, 37, 90, 150, 200, 0, Undefined, 
Optional(2018-12-19 22:28:39 +0000), Optional(2018-12-20 06:30:15 +0000), 482, No, 72, 32, 50, 180, 220, 0, Undefined, 
Optional(2018-12-20 22:27:40 +0000), Optional(2018-12-21 06:30:09 +0000), 482, No, 76, 52, 70, 190, 170, 0, Undefined, 
Optional(2018-12-21 23:31:46 +0000), Optional(2018-12-22 07:30:11 +0000), 478, No, 70, 38, 60, 200, 180, 0, Undefined, 
Optional(2018-12-23 00:03:43 +0000), Optional(2018-12-23 08:00:09 +0000), 476, No, 70, 76, 70, 160, 170, 0, Undefined, 
Optional(2018-12-23 22:28:52 +0000), Optional(2018-12-24 06:30:09 +0000), 481, No, 74, 71, 80, 170, 160, 0, Undefined, 
Optional(2018-12-25 01:02:28 +0000), Optional(2018-12-25 07:27:13 +0000), 385, No, 72, 55, 80, 120, 130, 0, Undefined, 
Optional(2018-12-25 22:26:37 +0000), Optional(2018-12-26 07:10:35 +0000), 524, No, 82, 64, 130, 170, 160, 0, Bad, 
Optional(2018-12-26 23:04:45 +0000), Optional(2018-12-27 07:15:13 +0000), 490, No, 68, 50, 60, 210, 170, 0, Undefined, 
Optional(2018-12-27 23:08:55 +0000), Optional(2018-12-28 07:08:23 +0000), 479, No, 62, 89, 50, 210, 130, 0, Undefined, 
Optional(2018-12-29 22:58:40 +0000), Optional(2018-12-30 08:01:08 +0000), 542, No, 78, 72, 110, 180, 180, 0, Undefined, 
Optional(2018-12-31 00:36:10 +0000), Optional(2018-12-31 08:30:09 +0000), 474, No, 62, 84, 50, 160, 180, 0, Undefined, 
Optional(2018-12-31 23:45:31 +0000), Optional(2019-01-01 08:00:43 +0000), 495, No, 74, 35, 60, 220, 180, 0, Undefined, 
Optional(2019-01-01 21:26:50 +0000), Optional(2019-01-02 06:35:11 +0000), 548, No, 68, 48, 60, 260, 180, 0, Undefined, 
Optional(2019-01-02 22:09:11 +0000), Optional(2019-01-03 06:35:13 +0000), 506, No, 58, 136, 60, 140, 170, 0, OK, 
Optional(2019-01-03 22:59:41 +0000), Optional(2019-01-03 23:13:51 +0000), 14, Yes,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2019-01-03 22:59:41 +0000), Optional(2019-01-03 23:27:02 +0000), 27, No,  0, 27, 0, 0, 0, 0, Undefined, 
Optional(2019-01-03 23:27:06 +0000), Optional(2019-01-04 06:30:22 +0000), 423, No, 68, 43, 40, 170, 170, 0, Undefined, 
Optional(2019-01-04 23:18:36 +0000), Optional(2019-01-05 07:30:10 +0000), 492, No, 60, 72, 30, 190, 200, 0, Undefined, 
Optional(2019-01-05 23:40:12 +0000), Optional(2019-01-06 07:30:09 +0000), 470, No, 76, 60, 100, 190, 120, 0, Undefined, 
Optional(2019-01-06 22:09:08 +0000), Optional(2019-01-07 06:30:16 +0000), 501, No, 70, 81, 70, 160, 190, 0, Undefined, 
Optional(2019-01-07 21:57:49 +0000), Optional(2019-01-08 06:30:06 +0000), 512, No, 72, 42, 70, 180, 220, 0, Undefined, 
Optional(2019-01-08 22:38:41 +0000), Optional(2019-01-09 06:30:17 +0000), 472, No, 68, 52, 50, 160, 210, 0, Good, 
Optional(2019-01-09 21:48:52 +0000), Optional(2019-01-10 06:30:12 +0000), 521, No, 72, 61, 60, 180, 220, 0, Undefined, 
Optional(2019-01-10 22:18:04 +0000), Optional(2019-01-11 06:30:17 +0000), 492, No, 76, 52, 70, 180, 190, 0, Undefined, 
Optional(2019-01-11 23:55:33 +0000), Optional(2019-01-12 08:30:09 +0000), 515, No, 66, 75, 50, 190, 200, 0, Undefined, 
Optional(2019-01-13 01:21:24 +0000), Optional(2019-01-13 08:01:21 +0000), 400, No, 68, 40, 50, 160, 150, 0, Undefined, 
Optional(2019-01-13 21:57:47 +0000), Optional(2019-01-14 06:30:29 +0000), 513, No, 72, 53, 50, 230, 180, 0, OK, 
Optional(2019-01-14 22:37:08 +0000), Optional(2019-01-15 06:30:07 +0000), 473, No, 66, 63, 50, 210, 150, 0, Undefined, 
Optional(2019-01-15 22:09:51 +0000), Optional(2019-01-16 06:30:11 +0000), 500, No, 68, 60, 60, 190, 190, 0, Undefined, 
Optional(2019-01-16 23:04:15 +0000), Optional(2019-01-17 06:30:08 +0000), 446, No, 68, 66, 50, 180, 150, 0, Undefined, 
Optional(2019-01-17 22:25:32 +0000), Optional(2019-01-18 06:30:19 +0000), 485, No, 58, 75, 30, 150, 230, 0, Undefined, 
Optional(2019-01-18 23:54:32 +0000), Optional(2019-01-19 08:00:20 +0000), 486, No, 80, 46, 90, 170, 180, 0, Undefined, 
Optional(2019-01-20 01:07:11 +0000), Optional(2019-01-20 09:00:12 +0000), 473, No, 82, 23, 70, 210, 170, 0, Undefined, 
Optional(2019-01-20 22:18:50 +0000), Optional(2019-01-21 06:30:13 +0000), 491, No, 66, 51, 50, 220, 170, 0, Undefined, 
Optional(2019-01-21 22:36:48 +0000), Optional(2019-01-22 06:30:14 +0000), 473, No, 72, 43, 50, 190, 190, 0, Good, 
Optional(2019-01-22 22:09:30 +0000), Optional(2019-01-23 06:30:11 +0000), 501, No, 72, 51, 80, 220, 150, 0, OK, 
Optional(2019-01-23 22:28:40 +0000), Optional(2019-01-24 06:15:17 +0000), 467, No, 62, 87, 40, 140, 200, 0, Undefined, 
Optional(2019-01-24 22:38:45 +0000), Optional(2019-01-25 06:25:10 +0000), 466, No, 66, 36, 20, 210, 200, 0, OK, 
Optional(2019-01-25 23:37:32 +0000), Optional(2019-01-26 07:35:34 +0000), 478, No, 78, 48, 70, 190, 170, 0, Undefined, 
Optional(2019-01-26 23:47:59 +0000), Optional(2019-01-27 08:10:12 +0000), 502, No, 66, 42, 30, 250, 180, 0, Undefined, 
Optional(2019-01-27 22:58:06 +0000), Optional(2019-01-28 06:25:09 +0000), 447, No, 72, 67, 100, 150, 130, 0, Undefined, 
Optional(2019-01-28 22:27:44 +0000), Optional(2019-01-29 06:25:14 +0000), 477, No, 68, 47, 60, 210, 160, 0, Undefined, 
Optional(2019-01-29 22:01:29 +0000), Optional(2019-01-30 07:00:10 +0000), 539, No, 80, 69, 160, 190, 120, 0, Undefined, 
Optional(2019-01-30 22:25:59 +0000), Optional(2019-01-31 06:25:07 +0000), 479, No, 74, 49, 80, 190, 160, 0, Undefined, 
Optional(2019-01-31 22:57:59 +0000), Optional(2019-02-01 06:25:11 +0000), 447, No, 72, 37, 60, 210, 140, 0, Undefined, 
Optional(2019-02-01 23:31:27 +0000), Optional(2019-02-02 08:00:09 +0000), 509, No, 72, 59, 80, 190, 180, 0, Undefined, 
